PLAYER,POS,GP_AnG,GP_DFO,GP_DtZ,GP_LX,GP_Cull,GP_SL,GP_YF,GP_i1,GP_i2,W_AnG,W_DFO,W_DtZ,W_LX,W_Cull,W_SL,W_YF,W_i1,W_i2,GAA_AnG,GAA_DFO,GAA_DtZ,GAA_LX,GAA_Cull,GAA_SL,GAA_YF,GAA_i1,GAA_i2,SV_AnG,SV_DFO,SV_DtZ,SV_LX,SV_Cull,SV_SL,SV_YF,SV_i1,SV_i2,SV%_AnG,SV%_DFO,SV%_DtZ,SV%_LX,SV%_Cull,SV%_SL,SV%_YF,SV%_i1,SV%_i2,SO_AnG,SO_DFO,SO_DtZ,SO_LX,SO_Cull,SO_SL,SO_YF,SO_i1,SO_i2,season,GP_KUB,W_KUB,GAA_KUB,SV_KUB,SV%_KUB,SO_KUB,GP_BFH,W_BFH,GAA_BFH,SV_BFH,SV%_BFH,SO_BFH,PlayerID
Adin Hill,G,,25,25,,34,,7,,25,,13.5,12,11,19,,2,,16,,2.8,2.8,2.8,2.7,,3,,2.5,,631.2,705,671,,,184,,660,,0.904,0.91,0.907,0.911,,0.898,,0.915,,2.1,2,,,,,,,2022-2023,,,,,,,,,,,,,Adin Hill_G
Alex Nedeljkovic,G,,40,40,,36,,44,,13,,17.3,19,18,14,,20,15,5,,3,2.9,3.1,2.9,,3.1,2.9,3.5,,1156.7,1172,1197,,,1406,1026,417,,0.909,0.909,0.899,0.905,,0.909,0.909,0.895,,3.1,3,,,,4,,,2022-2023,,,,,,,,,,,,,Alex Nedeljkovic_G
Alexandar Georgiev,G,,39,37,,52,,45,,62,,23.7,19,26,32,,15,32,40,,2.7,2.9,2.7,2.7,,2.6,2.7,2.5,,1054.8,1000,1278,,,1311,1471,1748,,0.911,0.905,0.899,0.908,,0.916,0.915,0.918,,2.9,3,,,,3,,,2022-2023,,,,,,,,,,,,,Alexandar Georgiev_G
Andrei Vasilevskiy,G,,62,63,,62,,63,,60,,36.4,41,41,41,,44,36,34,,2.5,2.5,2.4,2.4,,2.4,2.5,2.7,,1648.6,1732,1698,,,1740,1668,1716,,0.919,0.918,0.916,0.919,,0.921,0.918,0.915,,5.1,4,,,,6,,,2022-2023,,,,,,,,,,,,,Andrei Vasilevskiy_G
Anthony Stolarz,G,,26,28,,30,,22,,12,,10.9,15,10,13,,11,11,5,,2.9,2.8,2.8,2.4,,2.6,2.9,3.7,,734.2,850,726,,,689,786,443,,0.909,0.916,0.919,0.916,,0.917,0.909,0.897,,2.1,3,,,,2,,,2022-2023,,,,,,,,,,,,,Anthony Stolarz_G
Anton Forsberg,G,,37,41,,34,,35,,25,,17.7,20,14,15,,16,17,11,,3,2.8,2.9,2.9,,2.8,2.9,3.3,,1057.2,1217,890,,,1046,1026,737,,0.908,0.914,0.915,0.912,,0.914,0.911,0.902,,1.2,1,,,,2,,,2022-2023,,,,,,,,,,,,,Anton Forsberg_G
Antti Raanta,G,,27,30,,28,,26,,26,,15.2,15,13,18,,14,15,19,,2.6,2.7,2.6,2.6,,2.7,2.7,2.2,,689.1,835,658,,,664,726,586,,0.909,0.913,0.913,0.912,,0.907,0.908,0.91,,1.8,2,,,,2,,,2022-2023,,,,,,,,,,,,,Antti Raanta_G
Brian Elliott,G,,20,21,,21,,17,,22,,11.2,12,11,12,,11,12,12,,2.8,2.9,2.8,2.6,,2.8,2.9,3.4,,529.3,553,504,,,480,603,614,,0.908,0.901,0.915,0.903,,0.907,0.905,0.891,,1.1,1,,,,1,,,2022-2023,,,,,,,,,,,,,Brian Elliott_G
Cam Talbot,G,,45,43,,50,,45,,32,,21.1,26,27,26,,21,22,17,,2.9,2.7,2.9,2.7,,2.8,3,2.9,,1293.2,1230,1514,,,1337,1372,840,,0.911,0.913,0.913,0.914,,0.914,0.908,0.898,,2.5,3,,,,3,,,2022-2023,,,,,,,,,,,,,Cam Talbot_G
Carter Hart,G,,59,46,,56,,51,,54,,24.2,19,23,24,,18,21,22,,3,3,2.9,3,,3,3.1,2.9,,1632.6,1261,1589,,,1525,1548,1510,,0.905,0.901,0.908,0.906,,0.909,0.903,0.907,,1.6,2,,,,2,,,2022-2023,,,,,,,,,,,,,Carter Hart_G
